,sql,python,excel,power_bi,tableau,sas,azure,snowflake,aws,spark,looker,qlik
0,False,False,False,False,False,False,False,False,False,False,False,False
33,False,False,True,False,False,False,False,False,False,False,False,False
90,True,False,False,False,False,False,False,False,False,False,False,False
49,False,True,False,False,False,False,False,False,False,False,False,False
131,True,False,True,False,False,False,False,False,False,False,False,False
158,True,True,False,False,False,False,False,False,False,False,False,False
16,False,False,False,True,False,False,False,False,False,False,False,False
235,True,True,True,True,True,False,False,False,False,False,False,False
41,False,False,True,True,False,False,False,False,False,False,False,False
178,True,True,False,False,True,False,False,False,False,False,False,False
137,True,False,True,False,False,True,False,False,False,False,False,False
202,True,True,False,True,True,False,False,False,False,False,False,False
215,True,True,True,False,False,False,False,False,False,False,False,False
11,False,False,False,False,True,False,False,False,False,False,False,False
103,True,False,False,False,True,False,False,False,False,False,False,False
139,True,False,True,False,True,False,False,False,False,False,False,False
112,True,False,False,True,False,False,False,False,False,False,False,False
146,True,False,True,True,False,False,False,False,False,False,False,False
151,True,False,True,True,True,False,False,False,False,False,False,False
78,False,True,True,False,False,False,False,False,False,False,False,False
120,True,False,False,True,True,False,False,False,False,False,False,False
9,False,False,False,False,False,True,False,False,False,False,False,False
102,True,False,False,False,False,True,False,False,False,False,False,False
234,True,True,True,True,False,True,False,True,False,False,False,False
45,False,False,True,True,True,False,False,False,False,False,False,False
157,True,False,True,True,True,True,False,True,False,False,False,False
161,True,True,False,False,False,False,False,False,True,False,False,False
122,True,False,False,True,True,False,False,False,False,False,True,False
17,False,False,False,True,False,False,False,False,False,False,False,True
1,False,False,False,False,False,False,False,False,False,False,True,False
27,False,False,False,True,True,False,False,False,False,False,False,False
191,True,True,False,True,False,False,False,False,False,False,False,False
225,True,True,True,False,True,False,False,False,False,False,False,False
98,True,False,False,False,False,False,True,False,False,False,False,False
65,False,True,False,False,True,False,False,False,False,False,False,False
38,False,False,True,False,True,False,False,False,False,False,False,False
3,False,False,False,False,False,False,False,False,True,False,False,False
51,False,True,False,False,False,False,False,False,True,False,False,False
68,False,True,False,True,False,False,False,False,False,False,False,False
74,False,True,False,True,True,False,False,False,False,False,False,False
160,True,True,False,False,False,False,False,False,False,True,False,False
50,False,True,False,False,False,False,False,False,False,True,False,False
175,True,True,False,False,False,True,False,False,False,False,False,False
117,True,False,False,True,False,False,True,False,False,False,False,False
2,False,False,False,False,False,False,False,False,False,True,False,False
7,False,False,False,False,False,False,True,False,False,False,False,False
5,False,False,False,False,False,False,False,True,False,False,False,False
230,True,True,True,True,False,False,False,False,False,False,False,False
92,True,False,False,False,False,False,False,False,False,False,True,False
96,True,False,False,False,False,False,False,True,False,False,False,False
56,False,True,False,False,False,False,True,False,False,False,False,False
182,True,True,False,False,True,False,False,False,True,False,False,False
223,True,True,True,False,False,True,False,False,False,False,False,False
150,True,False,True,True,False,True,False,False,False,False,False,False
89,False,True,True,True,True,False,False,False,False,False,False,False
163,True,True,False,False,False,False,False,False,True,True,False,False
93,True,False,False,False,False,False,False,False,True,False,False,False
91,True,False,False,False,False,False,False,False,False,False,False,True
86,False,True,True,True,False,False,False,False,False,False,False,False
61,False,True,False,False,False,True,False,False,False,False,False,False
183,True,True,False,False,True,False,False,True,False,False,False,False
18,False,False,False,True,False,False,False,False,False,False,True,False
134,True,False,True,False,False,False,False,True,False,False,False,False
237,True,True,True,True,True,False,True,True,True,False,False,False
229,True,True,True,False,True,True,False,False,False,False,False,False
83,False,True,True,False,True,False,False,False,False,False,False,False
23,False,False,False,True,False,False,True,False,False,False,False,False
179,True,True,False,False,True,False,False,False,False,False,True,False
